fc_id,carrier_id,total_prime_orders,avg_pick_hours,avg_pack_hours,avg_transit_hours,total_defects,defect_rate_pct
MDW2,USPS,85,2.5100000000000002,24.050000000000001,53.950000000000003,85,100.00
ORD1,USPS,59,2.3600000000000003,3.2200000000000002,53.989999999999995,58,98.31
IND1,USPS,44,2.3199999999999998,3.8500000000000001,56.729999999999997,43,97.73
CVG3,USPS,20,2.46,2.9300000000000002,52.100000000000001,17,85.00
MDW2,UPS,329,2.48,23.84,23.91,252,76.60
MDW2,AMZL,924,2.5,24.16,23.5,682,73.81
MDW2,FDX,249,2.6100000000000003,24.550000000000001,23.030000000000001,182,73.09
CVG3,FDX,65,2.6000000000000001,3.4799999999999995,22.969999999999999,6,9.23
ORD1,AMZL,703,2.4899999999999998,3.5,24.050000000000001,47,6.69
CVG3,UPS,73,2.48,3.6899999999999999,24.969999999999999,4,5.48
ORD1,UPS,257,2.5600000000000001,3.5700000000000003,24.66,12,4.67
CVG3,AMZL,235,2.52,3.4100000000000001,23.530000000000001,10,4.26
IND1,UPS,168,2.46,3.3999999999999999,24.25,7,4.17
IND1,AMZL,505,2.3799999999999999,3.4700000000000002,23.82,18,3.56
ORD1,FDX,183,2.5,3.5,23.559999999999999,6,3.28
IND1,FDX,102,2.54,3.5200000000000005,23.780000000000001,3,2.94
